timestamp,temperature,humidity,pH,soil_moisture
2024-11-01 13:28:00,12.9,79.0,6.8,17.8
2024-11-01 13:29:00,12.4,79.9,6.9,17.7
2024-11-01 13:30:00,11.9,81.0,6.9,17.5
2024-11-01 13:31:00,11.5,81.8,6.9,17.4
2024-11-01 13:32:00,11.2,82.3,6.8,17.3
2024-11-01 13:33:00,11.4,81.9,6.8,17.2
2024-11-01 13:34:00,12.1,80.2,6.9,17.1
2024-11-01 13:35:00,13.9,76.5,7.0,16.9
2024-11-01 13:36:00,16.7,71.2,7.0,16.6
2024-11-01 13:37:00,20.1,65.4,7.1,16.2
2024-11-01 13:38:00,23.6,59.2,7.1,15.7
2024-11-01 13:39:00,27.0,54.0,7.0,15.1
2024-11-01 13:40:00,29.8,50.1,6.9,14.5
2024-11-01 13:41:00,31.7,47.3,6.8,13.8
2024-11-01 13:42:00,33.1,45.0,6.8,13.1
2024-11-01 13:43:00,33.6,44.2,6.7,12.4
2024-11-01 13:44:00,32.8,45.6,6.7,11.8
2024-11-01 13:45:00,30.9,48.3,6.8,11.3
2024-11-01 13:46:00,28.0,52.8,6.9,10.9
2024-11-01 13:47:00,24.5,58.6,7.0,10.6
2024-11-01 13:48:00,20.9,64.9,7.0,10.4
2024-11-01 13:49:00,18.3,70.5,6.9,10.2
2024-11-01 13:50:00,16.0,74.6,6.9,10.1
2024-11-01 13:51:00,14.5,77.1,6.8,10.0
2024-11-01 13:52:00,13.2,78.8,6.8,75.3
2024-11-01 13:53:00,12.7,79.7,6.9,74.9
2024-11-01 13:54:00,12.2,80.8,6.9,74.6
2024-11-01 13:55:00,11.8,81.6,6.9,74.3
2024-11-01 13:56:00,11.5,82.1,6.9,74.1
2024-11-01 13:57:00,11.7,81.7,6.9,73.9
2024-11-01 13:58:00,12.4,80.0,6.9,73.7
2024-11-01 13:59:00,14.2,76.2,7.0,73.4
2024-11-01 14:00:00,17.1,70.8,7.0,72.9
2024-11-01 14:01:00,20.6,64.8,7.1,72.3
2024-11-01 14:02:00,24.3,58.4,7.1,71.6
2024-11-01 14:03:00,27.8,53.1,7.0,70.7
2024-11-01 14:04:00,30.7,49.1,6.9,69.7
2024-11-01 14:05:00,32.8,46.2,6.9,68.6
2024-11-01 14:06:00,34.2,43.8,6.8,67.4
2024-11-01 14:07:00,34.8,43.0,6.8,66.1
2024-11-01 14:08:00,33.9,44.5,6.8,64.8
2024-11-01 14:09:00,31.9,47.3,6.9,63.6
2024-11-01 14:10:00,28.8,52.0,6.9,62.5
2024-11-01 14:11:00,25.2,58.0,7.0,61.5
2024-11-01 14:12:00,21.5,64.4,7.0,60.7
2024-11-01 14:13:00,18.8,70.1,6.9,60.1
2024-11-01 14:14:00,16.4,74.3,6.9,59.6
2024-11-01 14:15:00,14.8,76.9,6.9,59.2
2024-11-01 14:16:00,13.5,78.6,6.9,58.9
2024-11-01 14:17:00,12.7,79.8,6.9,57.8
2024-11-01 14:18:00,31.5,48.6,6.9,55.2
2024-11-01 14:19:00,29.5,51.5,6.9,53.1
2024-11-01 14:20:00,13.8,78.3,6.9,51.5
2024-11-01 14:21:00,13.0,79.5,6.9,50.8
2024-11-01 14:22:00,32.2,47.9,6.9,48.3
2024-11-01 14:23:00,30.1,50.9,6.9,46.4
2024-11-01 14:24:00,14.1,78.0,6.9,44.8
2024-11-01 14:25:00,13.3,79.2,6.9,44.2
2024-11-01 14:26:00,33.0,47.2,6.8,41.9
2024-11-01 14:27:00,30.8,50.2,6.9,40.1
2024-11-01 14:28:00,14.5,77.6,6.9,38.7
2024-11-01 14:29:00,13.7,78.8,6.9,38.2
2024-11-01 14:30:00,33.8,46.5,6.8,36.1
2024-11-01 14:31:00,31.5,49.5,6.9,34.5
2024-11-01 14:32:00,14.9,77.2,6.9,33.2
2024-11-01 14:33:00,14.1,78.4,6.9,32.7
2024-11-01 14:34:00,34.5,45.9,6.8,30.8
2024-11-01 14:35:00,32.2,48.9,6.9,29.3
2024-11-01 14:36:00,15.3,76.8,6.9,28.1
2024-11-01 14:37:00,14.5,78.0,6.9,27.7
2024-11-01 14:38:00,35.2,45.3,6.8,25.9
2024-11-01 14:39:00,32.9,48.3,6.9,24.6
2024-11-01 14:40:00,15.7,76.4,6.9,23.5
2024-11-01 14:41:00,14.9,77.6,6.9,23.1
2024-11-01 14:42:00,34.8,45.7,6.8,21.5
2024-11-01 14:43:00,32.5,48.7,6.9,20.3
2024-11-01 14:44:00,15.5,76.6,6.9,19.3
2024-11-01 14:45:00,14.7,77.8,6.9,19.0
2024-11-01 14:46:00,34.3,46.0,6.8,17.6
2024-11-01 14:47:00,32.1,49.0,6.9,16.5
2024-11-01 14:48:00,15.2,76.9,6.9,15.6
2024-11-01 14:49:00,14.4,78.1,6.9,15.3
2024-11-01 14:50:00,33.6,46.4,6.8,14.2
2024-11-01 14:51:00,31.4,49.4,6.9,13.3
2024-11-01 14:52:00,14.8,77.3,6.9,12.5
2024-11-01 14:53:00,14.0,78.5,6.9,12.3
2024-11-01 14:54:00,32.8,46.9,6.8,11.4
2024-11-01 14:55:00,30.6,49.9,6.9,10.7
2024-11-01 14:56:00,14.3,77.7,6.9,78.1
2024-11-01 14:57:00,13.5,78.9,6.9,77.7
2024-11-01 14:58:00,32.1,47.4,6.9,75.5
2024-11-01 14:59:00,29.9,50.5,6.9,73.8
2024-11-01 15:00:00,13.9,78.1,6.9,72.5
2024-11-01 15:01:00,13.1,79.3,6.9,71.9
2024-11-01 15:02:00,31.3,47.9,6.9,69.9
2024-11-01 15:03:00,29.2,51.1,6.9,68.4
2024-11-01 15:04:00,13.6,78.4,6.9,67.2
2024-11-01 15:05:00,12.8,79.6,6.9,66.7
2024-11-01 15:06:00,30.6,48.4,6.9,65.0
2024-11-01 15:07:00,28.6,51.6,6.9,63.6
2024-11-01 15:08:00,13.2,78.7,6.9,62.5
2024-11-01 15:09:00,12.4,79.9,6.9,62.1
2024-11-01 15:10:00,29.9,48.9,6.9,60.6
2024-11-01 15:11:00,27.9,52.1,6.9,59.3
2024-11-01 15:12:00,12.9,79.0,6.9,58.3
2024-11-01 15:13:00,12.1,80.2,6.9,57.9
2024-11-01 15:14:00,29.3,49.3,6.9,56.5
2024-11-01 15:15:00,27.3,52.5,6.9,55.3
2024-11-01 15:16:00,12.6,79.3,6.9,54.4
2024-11-01 15:17:00,11.8,80.5,6.9,54.1
2024-11-01 15:18:00,28.7,49.7,6.9,52.8
2024-11-01 15:19:00,26.8,52.9,6.9,51.7
2024-11-01 15:20:00,12.3,79.6,6.9,50.9
2024-11-01 15:21:00,11.5,80.8,6.9,50.6
2024-11-01 15:22:00,28.1,50.1,6.9,49.4
2024-11-01 15:23:00,26.2,53.3,6.9,48.4
2024-11-01 15:24:00,12.0,79.9,6.9,47.6
2024-11-01 15:25:00,11.2,81.1,6.9,47.4
2024-11-01 15:26:00,27.6,50.5,6.9,46.3
2024-11-01 15:27:00,25.7,53.7,6.9,45.4
2024-11-01 15:28:00,11.8,80.2,6.9,44.7
2024-11-01 15:29:00,11.0,81.4,6.9,44.5
2024-11-01 15:30:00,27.1,50.9,6.9,43.5
2024-11-01 15:31:00,25.3,54.0,6.9,42.6
2024-11-01 15:32:00,11.6,80.4,6.9,42.0
2024-11-01 15:33:00,10.8,81.6,6.9,41.8
2024-11-01 15:34:00,26.7,51.2,6.9,40.9
2024-11-01 15:35:00,24.9,54.3,6.9,40.1
2024-11-01 15:36:00,11.4,80.6,6.9,39.5
2024-11-01 15:37:00,10.6,81.8,6.9,39.3
2024-11-01 15:38:00,26.3,51.5,6.9,38.5
2024-11-01 15:39:00,24.5,54.6,6.9,37.8
2024-11-01 15:40:00,11.2,80.8,6.9,37.2
2024-11-01 15:41:00,10.4,82.0,6.9,37.0
2024-11-01 15:42:00,25.9,51.8,6.9,36.3
2024-11-01 15:43:00,24.2,54.9,6.9,35.6
2024-11-01 15:44:00,11.0,81.0,6.9,35.1
2024-11-01 15:45:00,10.2,82.2,6.9,34.9
2024-11-01 15:46:00,25.6,52.1,6.8,34.2
2024-11-01 15:47:00,23.9,55.1,6.9,33.6
2024-11-01 15:48:00,10.8,81.2,6.9,33.1
2024-11-01 15:49:00,10.0,82.4,6.9,32.9
2024-11-01 15:50:00,25.3,52.4,6.8,32.3
2024-11-01 15:51:00,23.6,55.4,6.9,31.7
2024-11-01 15:52:00,10.6,81.4,6.9,31.2
2024-11-01 15:53:00,9.8,82.6,6.9,31.0
2024-11-01 15:54:00,25.0,52.6,6.8,30.5
2024-11-01 15:55:00,23.4,55.6,6.9,30.0
2024-11-01 15:56:00,10.5,81.5,6.9,29.5
2024-11-01 15:57:00,9.7,82.7,6.9,29.4
2024-11-01 15:58:00,24.8,52.8,6.8,28.9
2024-11-01 15:59:00,23.2,55.8,6.9,28.5
2024-11-01 16:00:00,28.9,50.6,6.8,32.6
2024-11-01 16:01:00,26.2,54.8,6.9,31.5
2024-11-01 16:02:00,23.1,60.2,7.0,30.6
2024-11-01 16:03:00,19.8,66.1,7.0,30.1
2024-11-01 16:04:00,17.4,71.3,6.9,29.8
2024-11-01 16:05:00,15.2,75.2,6.9,29.5
2024-11-01 16:06:00,13.7,77.8,6.8,29.3
2024-11-01 16:07:00,12.5,79.2,6.8,29.1
2024-11-01 16:08:00,12.1,80.1,6.9,28.9
2024-11-01 16:09:00,11.6,81.3,6.9,28.7
2024-11-01 16:10:00,11.2,82.0,6.9,28.5
2024-11-01 16:11:00,10.9,82.5,6.8,28.3
2024-11-01 16:12:00,11.1,82.1,6.8,28.2
2024-11-01 16:13:00,11.8,80.5,6.9,28.0
2024-11-01 16:14:00,13.5,76.9,7.0,27.7
2024-11-01 16:15:00,16.2,71.8,7.0,27.3
2024-11-01 16:16:00,19.4,66.2,7.1,26.8
2024-11-01 16:17:00,22.8,60.3,7.1,26.2
2024-11-01 16:18:00,26.1,55.1,7.0,25.5
2024-11-01 16:19:00,28.7,51.2,6.9,24.7
2024-11-01 16:20:00,30.5,48.5,6.8,23.8
2024-11-01 16:21:00,31.8,46.2,6.8,22.9
2024-11-01 16:22:00,32.3,45.5,6.7,21.9
2024-11-01 16:23:00,31.6,46.8,6.7,21.0
2024-11-01 16:24:00,29.8,49.4,6.8,20.2
2024-11-01 16:25:00,27.1,53.7,6.9,19.5
2024-11-01 16:26:00,23.8,59.3,7.0,19.0
2024-11-01 16:27:00,20.3,65.5,7.0,18.6
2024-11-01 16:28:00,17.8,70.9,6.9,18.3
2024-11-01 16:29:00,15.5,74.9,6.9,18.1
2024-11-01 16:30:00,14.1,77.3,6.8,18.0
2024-11-01 16:31:00,12.9,79.0,6.8,17.8
2024-11-01 16:32:00,12.4,79.9,6.9,17.7
2024-11-01 16:33:00,11.9,81.0,6.9,17.5
2024-11-01 16:34:00,11.5,81.8,6.9,17.4
2024-11-01 16:35:00,11.2,82.3,6.8,17.3
2024-11-01 16:36:00,11.4,81.9,6.8,17.2
2024-11-01 16:37:00,12.1,80.2,6.9,17.1
2024-11-01 16:38:00,13.9,76.5,7.0,16.9
2024-11-01 16:39:00,16.7,71.2,7.0,16.6
2024-11-01 16:40:00,20.1,65.4,7.1,16.2
2024-11-01 16:41:00,23.6,59.2,7.1,15.7
2024-11-01 16:42:00,27.0,54.0,7.0,15.1
2024-11-01 16:43:00,29.8,50.1,6.9,14.5
2024-11-01 16:44:00,31.7,47.3,6.8,13.8
2024-11-01 16:45:00,33.1,45.0,6.8,13.1
2024-11-01 16:46:00,33.6,44.2,6.7,12.4
2024-11-01 16:47:00,32.8,45.6,6.7,11.8
2024-11-01 16:48:00,30.9,48.3,6.8,11.3
2024-11-01 16:49:00,28.0,52.8,6.9,10.9
2024-11-01 16:50:00,24.5,58.6,7.0,10.6
2024-11-01 16:51:00,20.9,64.9,7.0,10.4
2024-11-01 16:52:00,18.3,70.5,6.9,10.2
2024-11-01 16:53:00,16.0,74.6,6.9,10.1
2024-11-01 16:54:00,14.5,77.1,6.8,10.0
2024-11-01 16:55:00,13.2,78.8,6.8,75.3
2024-11-01 16:56:00,12.7,79.7,6.9,74.9
2024-11-01 16:57:00,12.2,80.8,6.9,74.6
2024-11-01 16:58:00,11.8,81.6,6.9,74.3
2024-11-01 16:59:00,11.5,82.1,6.9,74.1
2024-11-01 17:00:00,11.7,81.7,6.9,73.9
2024-11-01 17:01:00,12.4,80.0,6.9,73.7
2024-11-01 17:02:00,14.2,76.2,7.0,73.4
2024-11-01 17:03:00,17.1,70.8,7.0,72.9
2024-11-01 17:04:00,20.6,64.8,7.1,72.3
2024-11-01 17:05:00,24.3,58.4,7.1,71.6
2024-11-01 17:06:00,27.8,53.1,7.0,70.7
2024-11-01 17:07:00,30.7,49.1,6.9,69.7
2024-11-01 17:08:00,32.8,46.2,6.9,68.6
2024-11-01 17:09:00,34.2,43.8,6.8,67.4
2024-11-01 17:10:00,34.8,43.0,6.8,66.1
2024-11-01 17:11:00,33.9,44.5,6.8,64.8
2024-11-01 17:12:00,31.9,47.3,6.9,63.6
2024-11-01 17:13:00,28.8,52.0,6.9,62.5
2024-11-01 17:14:00,25.2,58.0,7.0,61.5
2024-11-01 17:15:00,21.5,64.4,7.0,60.7
2024-11-01 17:16:00,18.8,70.1,6.9,60.1
2024-11-01 17:17:00,16.4,74.3,6.9,59.6
2024-11-01 17:18:00,14.8,76.9,6.9,59.2
2024-11-01 17:19:00,13.5,78.6,6.9,58.9
2024-11-01 17:20:00,12.7,79.8,6.9,57.8
2024-11-01 17:21:00,31.5,48.6,6.9,55.2
2024-11-01 17:22:00,29.5,51.5,6.9,53.1
2024-11-01 17:23:00,13.8,78.3,6.9,51.5
2024-11-01 17:24:00,13.0,79.5,6.9,50.8
2024-11-01 17:25:00,32.2,47.9,6.9,48.3
2024-11-01 17:26:00,30.1,50.9,6.9,46.4
2024-11-01 17:27:00,14.1,78.0,6.9,44.8
2024-11-01 17:28:00,13.3,79.2,6.9,44.2
2024-11-01 17:29:00,33.0,47.2,6.8,41.9
2024-11-01 17:30:00,30.8,50.2,6.9,40.1
2024-11-01 17:31:00,14.5,77.6,6.9,38.7
2024-11-01 17:32:00,13.7,78.8,6.9,38.2
2024-11-01 17:33:00,33.8,46.5,6.8,36.1
2024-11-01 17:34:00,31.5,49.5,6.9,34.5
2024-11-01 17:35:00,14.9,77.2,6.9,33.2
2024-11-01 17:36:00,14.1,78.4,6.9,32.7
2024-11-01 17:37:00,34.5,45.9,6.8,30.8
2024-11-01 17:38:00,32.2,48.9,6.9,29.3
2024-11-01 17:39:00,15.3,76.8,6.9,28.1
2024-11-01 17:40:00,14.5,78.0,6.9,27.7
2024-11-01 17:41:00,35.2,45.3,6.8,25.9
2024-11-01 17:42:00,32.9,48.3,6.9,24.6
2024-11-01 17:43:00,15.7,76.4,6.9,23.5
2024-11-01 17:44:00,14.9,77.6,6.9,23.1
2024-11-01 17:45:00,34.8,45.7,6.8,21.5
2024-11-01 17:46:00,32.5,48.7,6.9,20.3
2024-11-01 17:47:00,15.5,76.6,6.9,19.3
2024-11-01 17:48:00,14.7,77.8,6.9,19.0
2024-11-01 17:49:00,34.3,46.0,6.8,17.6
2024-11-01 17:50:00,32.1,49.0,6.9,16.5
2024-11-01 17:51:00,15.2,76.9,6.9,15.6
2024-11-01 17:52:00,14.4,78.1,6.9,15.3
2024-11-01 17:53:00,33.6,46.4,6.8,14.2
2024-11-01 17:54:00,31.4,49.4,6.9,13.3
2024-11-01 17:55:00,14.8,77.3,6.9,12.5
2024-11-01 17:56:00,14.0,78.5,6.9,12.3
2024-11-01 17:57:00,32.8,46.9,6.8,11.4
2024-11-01 17:58:00,30.6,49.9,6.9,10.7
2024-11-01 17:59:00,14.3,77.7,6.9,78.1
2024-11-01 18:00:00,13.5,78.9,6.9,77.7
2024-11-01 18:01:00,32.1,47.4,6.9,75.5
2024-11-01 18:02:00,29.9,50.5,6.9,73.8
2024-11-01 18:03:00,13.9,78.1,6.9,72.5
2024-11-01 18:04:00,13.1,79.3,6.9,71.9
2024-11-01 18:05:00,31.3,47.9,6.9,69.9
2024-11-01 18:06:00,29.2,51.1,6.9,68.4
2024-11-01 18:07:00,13.6,78.4,6.9,67.2
2024-11-01 18:08:00,12.8,79.6,6.9,66.7
2024-11-01 18:09:00,30.6,48.4,6.9,65.0
2024-11-01 18:10:00,28.6,51.6,6.9,63.6
2024-11-01 18:11:00,13.2,78.7,6.9,62.5
2024-11-01 18:12:00,12.4,79.9,6.9,62.1
2024-11-01 18:13:00,29.9,48.9,6.9,60.6
2024-11-01 18:14:00,27.9,52.1,6.9,59.3
2024-11-01 18:15:00,12.9,79.0,6.9,58.3
2024-11-01 18:16:00,12.1,80.2,6.9,57.9
2024-11-01 18:17:00,29.3,49.3,6.9,56.5
2024-11-01 18:18:00,27.3,52.5,6.9,55.3
2024-11-01 18:19:00,12.6,79.3,6.9,54.4
2024-11-01 18:20:00,11.8,80.5,6.9,54.1
2024-11-01 18:21:00,28.7,49.7,6.9,52.8
2024-11-01 18:22:00,26.8,52.9,6.9,51.7
2024-11-01 18:23:00,12.3,79.6,6.9,50.9
2024-11-01 18:24:00,11.5,80.8,6.9,50.6
2024-11-01 18:25:00,28.1,50.1,6.9,49.4
2024-11-01 18:26:00,26.2,53.3,6.9,48.4
2024-11-01 18:27:00,12.0,79.9,6.9,47.6
2024-11-01 18:28:00,11.2,81.1,6.9,47.4
2024-11-01 18:29:00,27.6,50.5,6.9,46.3
2024-11-01 18:30:00,25.7,53.7,6.9,45.4
2024-11-01 18:31:00,11.8,80.2,6.9,44.7
2024-11-01 18:32:00,11.0,81.4,6.9,44.5
2024-11-01 18:33:00,27.1,50.9,6.9,43.5
2024-11-01 18:34:00,25.3,54.0,6.9,42.6
2024-11-01 18:35:00,11.6,80.4,6.9,42.0
2024-11-01 18:36:00,10.8,81.6,6.9,41.8
2024-11-01 18:37:00,26.7,51.2,6.9,40.9
2024-11-01 18:38:00,24.9,54.3,6.9,40.1
2024-11-01 18:39:00,11.4,80.6,6.9,39.5
2024-11-01 18:40:00,10.6,81.8,6.9,39.3
2024-11-01 18:41:00,26.3,51.5,6.9,38.5
2024-11-01 18:42:00,24.5,54.6,6.9,37.8
2024-11-01 18:43:00,11.2,80.8,6.9,37.2
2024-11-01 18:44:00,10.4,82.0,6.9,37.0
2024-11-01 18:45:00,25.9,51.8,6.9,36.3
2024-11-01 18:46:00,24.2,54.9,6.9,35.6
2024-11-01 18:47:00,11.0,81.0,6.9,35.1
2024-11-01 18:48:00,10.2,82.2,6.9,34.9
2024-11-01 18:49:00,23.6,55.4,6.9,31.7
2024-11-01 18:50:00,10.6,81.4,6.9,31.2
2024-11-01 18:51:00,9.8,82.6,6.9,31.0
2024-11-01 18:52:00,25.0,52.6,6.8,30.5
2024-11-01 18:53:00,23.4,55.6,6.9,30.0
2024-11-01 18:54:00,10.5,81.5,6.9,29.5
2024-11-01 18:55:00,9.7,82.7,6.9,29.4
2024-11-01 18:56:00,24.8,52.8,6.8,28.9
2024-11-01 18:57:00,23.2,55.8,6.9,28.5
2024-11-01 18:58:00,28.9,50.6,6.8,32.6
2024-11-01 18:59:00,26.2,54.8,6.9,31.5
2024-11-01 19:00:00,23.1,60.2,7.0,30.6
2024-11-01 19:01:00,19.8,66.1,7.0,30.1
2024-11-01 19:02:00,17.4,71.3,6.9,29.8
2024-11-01 19:03:00,15.2,75.2,6.9,29.5
2024-11-01 19:04:00,13.7,77.8,6.8,29.3
2024-11-01 19:05:00,12.5,79.2,6.8,29.1
2024-11-01 19:06:00,12.1,80.1,6.9,28.9
2024-11-01 19:07:00,11.6,81.3,6.9,28.7
2024-11-01 19:08:00,11.2,82.0,6.9,28.5
2024-11-01 19:09:00,10.9,82.5,6.8,28.3
2024-11-01 19:10:00,11.1,82.1,6.8,28.2
2024-11-01 19:11:00,11.8,80.5,6.9,28.0
2024-11-01 19:12:00,13.5,76.9,7.0,27.7
2024-11-01 19:13:00,16.2,71.8,7.0,27.3
2024-11-01 19:14:00,19.4,66.2,7.1,26.8
2024-11-01 19:15:00,22.8,60.3,7.1,26.2
2024-11-01 19:16:00,26.1,55.1,7.0,25.5
2024-11-01 19:17:00,28.7,51.2,6.9,24.7
2024-11-01 19:18:00,30.5,48.5,6.8,23.8
2024-11-01 19:19:00,31.8,46.2,6.8,22.9
2024-11-01 19:20:00,32.3,45.5,6.7,21.9
2024-11-01 19:21:00,31.6,46.8,6.7,21.0
2024-11-01 19:22:00,29.8,49.4,6.8,20.2
2024-11-01 19:23:00,27.1,53.7,6.9,19.5
2024-11-01 19:24:00,23.8,59.3,7.0,19.0
2024-11-01 19:25:00,20.3,65.5,7.0,18.6
2024-11-01 19:26:00,17.8,70.9,6.9,18.3
2024-11-01 19:27:00,15.5,74.9,6.9,18.1
2024-11-01 19:28:00,14.1,77.3,6.8,18.0
2024-11-01 19:29:00,12.9,79.0,6.8,17.8
2024-11-01 19:30:00,12.4,79.9,6.9,17.7
2024-11-01 19:31:00,11.9,81.0,6.9,17.5
2024-11-01 19:32:00,11.5,81.8,6.9,17.4
2024-11-01 19:33:00,11.2,82.3,6.8,17.3
2024-11-01 19:34:00,11.4,81.9,6.8,17.2
2024-11-01 19:35:00,12.1,80.2,6.9,17.1
2024-11-01 19:36:00,13.9,76.5,7.0,16.9
2024-11-01 19:37:00,16.7,71.2,7.0,16.6
2024-11-01 19:38:00,20.1,65.4,7.1,16.2
2024-11-01 19:39:00,23.6,59.2,7.1,15.7
2024-11-01 19:40:00,27.0,54.0,7.0,15.1
2024-11-01 19:41:00,29.8,50.1,6.9,14.5
2024-11-01 19:42:00,31.7,47.3,6.8,13.8
2024-11-01 19:43:00,33.1,45.0,6.8,13.1
2024-11-01 19:44:00,33.6,44.2,6.7,12.4
2024-11-01 19:45:00,32.8,45.6,6.7,11.8
2024-11-01 19:46:00,30.9,48.3,6.8,11.3
2024-11-01 19:47:00,28.0,52.8,6.9,10.9
2024-11-01 19:48:00,24.5,58.6,7.0,10.6
2024-11-01 19:49:00,20.9,64.9,7.0,10.4
2024-11-01 19:50:00,18.3,70.5,6.9,10.2
2024-11-01 19:51:00,16.0,74.6,6.9,10.1
2024-11-01 19:52:00,14.5,77.1,6.8,10.0
2024-11-01 19:53:00,13.2,78.8,6.8,75.3
2024-11-01 19:54:00,12.7,79.7,6.9,74.9
2024-11-01 19:55:00,12.2,80.8,6.9,74.6
2024-11-01 19:56:00,11.8,81.6,6.9,74.3
2024-11-01 19:57:00,11.5,82.1,6.9,74.1
2024-11-01 19:58:00,11.7,81.7,6.9,73.9
2024-11-01 19:59:00,12.4,80.0,6.9,73.7
2024-11-01 20:00:00,14.2,76.2,7.0,73.4
2024-11-01 20:01:00,17.1,70.8,7.0,72.9
2024-11-01 20:02:00,20.6,64.8,7.1,72.3
2024-11-01 20:03:00,24.3,58.4,7.1,71.6
2024-11-01 20:04:00,27.8,53.1,7.0,70.7
2024-11-01 20:05:00,30.7,49.1,6.9,69.7
2024-11-01 20:06:00,32.8,46.2,6.9,68.6
2024-11-01 20:07:00,34.2,43.8,6.8,67.4
2024-11-01 20:08:00,34.8,43.0,6.8,66.1
2024-11-01 20:09:00,33.9,44.5,6.8,64.8
2024-11-01 20:10:00,31.9,47.3,6.9,63.6
2024-11-01 20:11:00,28.8,52.0,6.9,62.5
2024-11-01 20:12:00,25.2,58.0,7.0,61.5
2024-11-01 20:13:00,21.5,64.4,7.0,60.7
2024-11-01 20:14:00,18.8,70.1,6.9,60.1
2024-11-01 20:15:00,16.4,74.3,6.9,59.6
2024-11-01 20:16:00,14.8,76.9,6.9,59.2
2024-11-01 20:17:00,13.5,78.6,6.9,58.9
2024-11-01 20:18:00,12.7,79.8,6.9,57.8
2024-11-01 20:19:00,31.5,48.6,6.9,55.2
2024-11-01 20:20:00,29.5,51.5,6.9,53.1
2024-11-01 20:21:00,13.8,78.3,6.9,51.5
2024-11-01 20:22:00,13.0,79.5,6.9,50.8
2024-11-01 20:23:00,32.2,47.9,6.9,48.3
2024-11-01 20:24:00,30.1,50.9,6.9,46.4
2024-11-01 20:25:00,14.1,78.0,6.9,44.8
2024-11-01 20:26:00,13.3,79.2,6.9,44.2
2024-11-01 20:27:00,33.0,47.2,6.8,41.9
2024-11-01 20:28:00,30.8,50.2,6.9,40.1
2024-11-01 20:29:00,14.5,77.6,6.9,38.7
2024-11-01 20:30:00,13.7,78.8,6.9,38.2
2024-11-01 20:31:00,33.8,46.5,6.8,36.1
2024-11-01 20:32:00,31.5,49.5,6.9,34.5
2024-11-01 20:33:00,14.9,77.2,6.9,33.2
2024-11-01 20:34:00,14.1,78.4,6.9,32.7
2024-11-01 20:35:00,34.5,45.9,6.8,30.8
2024-11-01 20:36:00,32.2,48.9,6.9,29.3
2024-11-01 20:37:00,15.3,76.8,6.9,28.1
2024-11-01 20:38:00,14.5,78.0,6.9,27.7
2024-11-01 20:39:00,35.2,45.3,6.8,25.9
2024-11-01 20:40:00,32.9,48.3,6.9,24.6
