timestamp,pH,water_temperature,dissolved_oxygen_mg_L,turbidity_ntu,conductivity_uS_cm
2024-02-17 12:22:30,7.1,18.7,6.5,102.5,995
2024-02-17 12:23:15,7.2,19.0,6.7,88.3,945
2024-02-17 12:24:00,7.1,17.2,7.1,78.5,885
2024-02-17 12:24:45,7.2,16.7,7.5,68.7,825
2024-02-17 12:25:30,7.1,18.8,7.2,75.3,865
2024-02-17 12:26:15,7.2,18.9,7.4,65.8,805
2024-02-17 12:27:00,7.1,17.1,7.8,58.5,755
2024-02-17 12:27:45,7.2,16.6,8.2,52.3,715
2024-02-17 12:28:30,7.1,18.6,7.9,58.7,745
2024-02-17 12:29:15,7.2,18.8,8.0,48.5,695
2024-02-17 12:30:00,7.1,17.0,8.5,42.8,665
2024-02-17 12:30:45,7.2,16.5,8.8,38.5,625
2024-02-17 12:31:30,7.1,18.5,8.6,43.2,655
2024-02-17 12:32:15,7.2,18.7,8.7,36.7,605
2024-02-17 12:33:00,7.1,16.9,9.0,32.5,585
2024-02-17 12:33:45,7.2,16.4,9.3,29.3,555
2024-02-17 12:34:30,7.1,18.4,9.1,33.8,575
2024-02-17 12:35:15,7.2,18.6,9.2,27.5,535
2024-02-17 12:36:00,7.1,16.8,9.4,24.8,515
2024-02-17 12:36:45,7.2,16.3,9.6,22.5,495
2024-02-17 12:37:30,7.1,18.3,9.5,26.3,515
2024-02-17 12:38:15,7.2,18.5,9.5,20.7,485
2024-02-17 12:39:00,7.2,16.7,9.6,18.5,465
2024-02-17 12:39:45,7.3,16.2,9.8,16.8,445
2024-02-17 12:40:30,7.2,18.2,9.6,19.2,465
2024-02-17 12:41:15,7.3,18.4,9.7,15.3,435
2024-02-17 12:42:00,7.2,16.6,9.7,13.8,425
2024-02-17 12:42:45,7.3,16.1,9.9,12.5,415
2024-02-17 12:43:30,7.2,18.1,9.8,14.7,435
2024-02-17 12:44:15,7.3,18.3,9.8,11.3,405
2024-02-17 12:45:00,7.2,16.5,9.8,10.2,395
2024-02-17 12:45:45,7.3,16.0,10.0,9.3,385
2024-02-17 12:46:30,7.2,18.0,9.9,11.5,405
2024-02-17 12:47:15,7.3,18.2,9.9,8.5,375
2024-02-17 12:48:00,7.2,16.4,9.9,7.8,365
2024-02-17 12:48:45,7.3,15.9,10.1,7.2,355
2024-02-17 12:49:30,7.2,17.9,10.0,8.9,375
2024-02-17 12:50:15,7.3,18.1,10.0,6.5,345
2024-02-17 12:51:00,7.2,16.3,10.0,6.1,335
2024-02-17 12:51:45,7.3,15.8,10.2,5.7,325
2024-02-17 12:52:30,7.2,17.8,10.1,7.2,345
2024-02-17 12:53:15,7.3,18.0,10.1,5.2,315
2024-02-17 12:54:00,7.2,16.2,10.1,4.9,308
2024-02-17 12:54:45,7.3,15.7,10.3,4.6,302
2024-02-17 12:55:30,7.2,17.7,10.2,5.8,322
2024-02-17 12:56:15,7.3,17.9,10.2,4.3,298
2024-02-17 12:57:00,7.2,16.1,10.2,4.1,295
2024-02-17 12:57:45,7.3,15.6,10.4,3.9,292
2024-02-17 12:58:30,7.2,17.6,10.3,4.8,308
2024-02-17 12:59:15,7.3,17.8,10.3,3.7,289
2024-02-17 13:00:00,7.2,16.0,10.3,3.6,287
2024-02-17 13:00:45,7.3,15.5,10.5,3.4,285
2024-02-17 13:01:30,7.2,17.5,10.4,4.2,298
2024-02-17 13:02:15,7.3,17.7,10.4,3.2,283
2024-02-17 13:03:00,7.2,15.9,10.4,3.1,282
2024-02-17 13:03:45,7.3,15.4,10.6,3.0,281
2024-02-17 13:04:30,7.2,17.4,10.5,3.8,292
2024-02-17 13:05:15,7.3,17.6,10.5,2.9,280
2024-02-17 13:06:00,7.2,15.8,10.5,2.8,279
2024-02-17 13:06:45,7.3,15.3,10.7,2.7,278
2024-02-17 13:07:30,7.2,17.3,10.6,3.5,288
2024-02-17 13:08:15,7.3,17.5,10.6,2.6,277
2024-02-17 13:09:00,6.9,19.1,7.9,12.9,538
2024-02-17 13:09:45,6.7,16.8,8.7,15.2,625
2024-02-17 13:10:30,6.8,16.5,8.9,11.5,558
2024-02-17 13:11:15,6.7,19.6,7.5,22.4,698
2024-02-17 13:12:00,6.8,19.2,7.7,18.3,642
2024-02-17 13:12:45,5.2,17.1,5.8,125.8,1285
2024-02-17 13:13:30,4.8,17.2,5.2,185.4,1425
2024-02-17 13:14:15,4.5,17.1,4.8,245.7,1585
2024-02-17 13:15:00,4.2,17.0,4.5,312.5,1758
2024-02-17 13:15:45,3.9,16.9,4.2,385.3,1895
2024-02-17 13:16:30,3.7,16.8,3.9,458.7,2025
2024-02-17 13:17:15,3.5,17.2,3.6,542.3,2185
2024-02-17 13:18:00,3.6,17.8,3.4,625.8,2358
2024-02-17 13:18:45,3.8,18.5,3.2,712.4,2525
2024-02-17 13:19:30,4.0,19.1,3.1,785.6,2685
2024-02-17 13:20:15,4.2,19.5,2.9,825.3,2785
2024-02-17 13:21:00,4.4,19.8,2.7,850.7,2848
2024-02-17 13:21:45,4.5,19.6,2.5,812.5,2758
2024-02-17 13:22:30,4.7,19.2,2.4,758.4,2625
2024-02-17 13:23:15,4.9,18.7,2.3,685.7,2485
2024-02-17 13:24:00,5.1,18.2,2.2,612.8,2358
2024-02-17 13:24:45,5.3,17.6,2.1,545.3,2225
2024-02-17 13:25:30,5.4,17.3,2.3,485.7,2105
2024-02-17 13:26:15,5.6,17.0,2.5,425.8,1985
2024-02-17 13:27:00,5.7,16.9,2.7,372.5,1875
2024-02-17 13:27:45,5.9,16.7,3.0,325.4,1758
2024-02-17 13:28:30,6.0,16.6,3.3,285.7,1652
2024-02-17 13:29:15,6.1,17.0,3.6,252.3,1558
2024-02-17 13:30:00,6.3,17.6,3.9,225.8,1475
2024-02-17 13:30:45,6.4,18.3,4.2,202.5,1395
2024-02-17 13:31:30,6.5,18.9,4.5,185.7,1325
2024-02-17 13:32:15,6.6,19.3,4.7,172.8,1265
2024-02-17 13:33:00,6.7,19.5,4.9,165.3,1225
2024-02-17 13:33:45,6.8,19.3,5.1,158.5,1185
2024-02-17 13:34:30,6.9,18.9,5.4,145.7,1145
2024-02-17 13:35:15,6.9,18.4,5.7,132.8,1105
2024-02-17 13:36:00,7.0,17.9,6.0,122.5,1068
2024-02-17 13:36:45,7.0,17.4,6.3,115.4,1035
2024-02-17 13:37:30,7.1,16.8,6.8,95.7,958
2024-02-17 13:38:15,7.1,18.7,6.5,102.5,995
2024-02-17 13:39:00,7.2,19.0,6.7,88.3,945
2024-02-17 13:39:45,7.1,17.2,7.1,78.5,885
2024-02-17 13:40:30,7.2,16.7,7.5,68.7,825
2024-02-17 13:41:15,7.1,18.8,7.2,75.3,865
2024-02-17 13:42:00,7.2,18.9,7.4,65.8,805
2024-02-17 13:42:45,7.1,17.1,7.8,58.5,755
2024-02-17 13:43:30,7.2,16.6,8.2,52.3,715
2024-02-17 13:44:15,7.1,18.6,7.9,58.7,745
2024-02-17 13:45:00,7.2,18.8,8.0,48.5,695
2024-02-17 13:45:45,7.1,17.0,8.5,42.8,665
2024-02-17 13:46:30,7.2,16.5,8.8,38.5,625
2024-02-17 13:47:15,7.1,18.5,8.6,43.2,655
2024-02-17 13:48:00,7.2,18.7,8.7,36.7,605
2024-02-17 13:48:45,7.1,16.9,9.0,32.5,585
2024-02-17 13:49:30,7.2,16.4,9.3,29.3,555
2024-02-17 13:50:15,7.1,18.4,9.1,33.8,575
2024-02-17 13:51:00,7.2,18.6,9.2,27.5,535
2024-02-17 13:51:45,7.1,16.8,9.4,24.8,515
2024-02-17 13:52:30,7.2,16.3,9.6,22.5,495
2024-02-17 13:53:15,7.1,18.3,9.5,26.3,515
2024-02-17 13:54:00,7.2,18.5,9.5,20.7,485
2024-02-17 13:54:45,7.2,16.7,9.6,18.5,465
2024-02-17 13:55:30,7.3,16.2,9.8,16.8,445
2024-02-17 13:56:15,7.2,18.2,9.6,19.2,465
2024-02-17 13:57:00,7.3,18.4,9.7,15.3,435
2024-02-17 13:57:45,7.2,16.6,9.7,13.8,425
2024-02-17 13:58:30,7.3,16.1,9.9,12.5,415
2024-02-17 13:59:15,7.2,18.1,9.8,14.7,435
2024-02-17 14:00:00,7.3,18.3,9.8,11.3,405
2024-02-17 14:00:45,7.2,16.5,9.8,10.2,395
2024-02-17 14:01:30,7.3,16.0,10.0,9.3,385
2024-02-17 14:02:15,7.2,18.0,9.9,11.5,405
2024-02-17 14:03:00,7.3,18.2,9.9,8.5,375
2024-02-17 14:03:45,7.2,16.4,9.9,7.8,365
2024-02-17 14:04:30,7.3,15.9,10.1,7.2,355
2024-02-17 14:05:15,7.2,17.9,10.0,8.9,375
2024-02-17 14:06:00,7.3,18.1,10.0,6.5,345
2024-02-17 14:06:45,7.2,16.3,10.0,6.1,335
2024-02-17 14:07:30,7.3,15.8,10.2,5.7,325
2024-02-17 14:08:15,7.2,17.8,10.1,7.2,345
2024-02-17 14:09:00,7.3,18.0,10.1,5.2,315
2024-02-17 14:09:45,7.2,16.2,10.1,4.9,308
2024-02-17 14:10:30,7.3,15.7,10.3,4.6,302
2024-02-17 14:11:15,7.2,17.7,10.2,5.8,322
2024-02-17 14:12:00,7.3,17.9,10.2,4.3,298
2024-02-17 14:12:45,7.2,16.1,10.2,4.1,295
2024-02-17 14:13:30,7.3,15.6,10.4,3.9,292
2024-02-17 14:14:15,7.2,17.6,10.3,4.8,308
2024-02-17 14:15:00,7.3,17.8,10.3,3.7,289
2024-02-17 14:15:45,7.2,16.0,10.3,3.6,287
2024-02-17 14:16:30,7.3,15.5,10.5,3.4,285
2024-02-17 14:17:15,7.2,17.5,10.4,4.2,298
2024-02-17 14:18:00,7.3,17.7,10.4,3.2,283
2024-02-17 14:18:45,7.2,15.9,10.4,3.1,282
2024-02-17 14:19:30,7.3,15.4,10.6,3.0,281
2024-02-17 14:20:15,7.2,17.4,10.5,3.8,292
2024-02-17 14:21:00,7.3,17.6,10.5,2.9,280
2024-02-17 14:21:45,7.2,15.8,10.5,2.8,279
2024-02-17 14:22:30,7.3,15.3,10.7,2.7,278
2024-02-17 14:23:15,7.2,17.3,10.6,3.5,288
2024-02-17 14:24:00,7.3,17.5,10.6,2.6,277
2024-02-17 14:24:45,6.9,19.1,7.9,12.9,538
2024-02-17 14:25:30,6.7,16.8,8.7,15.2,625
2024-02-17 14:26:15,6.8,16.5,8.9,11.5,558
2024-02-17 14:27:00,6.7,19.6,7.5,22.4,698
2024-02-17 14:27:45,6.8,19.2,7.7,18.3,642
2024-02-17 14:28:30,5.2,17.1,5.8,125.8,1285
2024-02-17 14:29:15,4.8,17.2,5.2,185.4,1425
2024-02-17 14:30:00,4.5,17.1,4.8,245.7,1585
2024-02-17 14:30:45,4.2,17.0,4.5,312.5,1758
2024-02-17 14:31:30,3.9,16.9,4.2,385.3,1895
2024-02-17 14:32:15,3.7,16.8,3.9,458.7,2025
2024-02-17 14:33:00,3.5,17.2,3.6,542.3,2185
2024-02-17 14:33:45,3.6,17.8,3.4,625.8,2358
2024-02-17 14:34:30,3.8,18.5,3.2,712.4,2525
2024-02-17 14:35:15,4.0,19.1,3.1,785.6,2685
2024-02-17 14:36:00,4.2,19.5,2.9,825.3,2785
2024-02-17 14:36:45,4.4,19.8,2.7,850.7,2848
2024-02-17 14:37:30,4.5,19.6,2.5,812.5,2758
2024-02-17 14:38:15,4.7,19.2,2.4,758.4,2625
2024-02-17 14:39:00,4.9,18.7,2.3,685.7,2485
2024-02-17 14:39:45,5.1,18.2,2.2,612.8,2358
2024-02-17 14:40:30,5.3,17.6,2.1,545.3,2225
2024-02-17 14:41:15,5.4,17.3,2.3,485.7,2105
2024-02-17 14:42:00,5.6,17.0,2.5,425.8,1985
2024-02-17 14:42:45,5.7,16.9,2.7,372.5,1875
2024-02-17 14:43:30,5.9,16.7,3.0,325.4,1758
2024-02-17 14:44:15,6.0,16.6,3.3,285.7,1652
2024-02-17 14:45:00,6.1,17.0,3.6,252.3,1558
2024-02-17 14:45:45,6.3,17.6,3.9,225.8,1475
2024-02-17 14:46:30,6.4,18.3,4.2,202.5,1395
2024-02-17 14:47:15,6.5,18.9,4.5,185.7,1325
2024-02-17 14:48:00,6.6,19.3,4.7,172.8,1265
2024-02-17 14:48:45,6.7,19.5,4.9,165.3,1225
2024-02-17 14:49:30,6.8,19.3,5.1,158.5,1185
2024-02-17 14:50:15,6.9,18.9,5.4,145.7,1145
2024-02-17 14:51:00,6.9,18.4,5.7,132.8,1105
2024-02-17 14:51:45,7.0,17.9,6.0,122.5,1068
2024-02-17 14:52:30,7.0,17.4,6.3,115.4,1035
2024-02-17 14:53:15,7.1,16.8,6.8,95.7,958
2024-02-17 14:54:00,7.1,18.7,6.5,102.5,995
2024-02-17 14:54:45,7.2,19.0,6.7,88.3,945
2024-02-17 14:55:30,7.1,17.2,7.1,78.5,885
2024-02-17 14:56:15,7.2,16.7,7.5,68.7,825
2024-02-17 14:57:00,7.1,18.8,7.2,75.3,865
2024-02-17 14:57:45,7.2,18.9,7.4,65.8,805
2024-02-17 14:58:30,7.1,17.1,7.8,58.5,755
2024-02-17 14:59:15,7.2,16.6,8.2,52.3,715
2024-02-17 15:00:00,7.1,18.6,7.9,58.7,745
2024-02-17 15:00:45,7.2,18.8,8.0,48.5,695
2024-02-17 15:01:30,7.1,17.0,8.5,42.8,665
2024-02-17 15:02:15,7.2,16.5,8.8,38.5,625
2024-02-17 15:03:00,7.1,18.5,8.6,43.2,655
2024-02-17 15:03:45,7.2,18.7,8.7,36.7,605
2024-02-17 15:04:30,7.1,16.9,9.0,32.5,585
2024-02-17 15:05:15,7.2,16.4,9.3,29.3,555
2024-02-17 15:06:00,7.1,18.4,9.1,33.8,575
2024-02-17 15:06:45,7.2,18.6,9.2,27.5,535
2024-02-17 15:07:30,7.1,16.8,9.4,24.8,515
2024-02-17 15:08:15,7.2,16.3,9.6,22.5,495
2024-02-17 15:09:00,7.1,18.3,9.5,26.3,515
2024-02-17 15:09:45,7.2,18.5,9.5,20.7,485
2024-02-17 15:10:30,7.2,16.7,9.6,18.5,465
2024-02-17 15:11:15,7.3,16.2,9.8,16.8,445
2024-02-17 15:12:00,7.2,18.2,9.6,19.2,465
2024-02-17 15:12:45,7.3,18.4,9.7,15.3,435
2024-02-17 15:13:30,7.2,16.6,9.7,13.8,425
2024-02-17 15:14:15,7.3,16.1,9.9,12.5,415
2024-02-17 15:15:00,7.2,18.1,9.8,14.7,435
2024-02-17 15:15:45,7.3,18.3,9.8,11.3,405
2024-02-17 15:16:30,7.2,16.5,9.8,10.2,395
2024-02-17 15:17:15,7.3,16.0,10.0,9.3,385
2024-02-17 15:18:00,7.2,18.0,9.9,11.5,405
2024-02-17 15:18:45,7.3,18.2,9.9,8.5,375
2024-02-17 15:19:30,7.2,16.4,9.9,7.8,365
2024-02-17 15:20:15,7.3,15.9,10.1,7.2,355
2024-02-17 15:21:00,7.2,17.9,10.0,8.9,375
2024-02-17 15:21:45,7.3,18.1,10.0,6.5,345
2024-02-17 15:22:30,7.2,16.3,10.0,6.1,335
2024-02-17 15:23:15,7.3,15.8,10.2,5.7,325
2024-02-17 15:24:00,7.2,17.8,10.1,7.2,345
2024-02-17 15:24:45,7.3,18.0,10.1,5.2,315
2024-02-17 15:25:30,7.2,16.2,10.1,4.9,308
2024-02-17 15:26:15,7.3,15.7,10.3,4.6,302
2024-02-17 15:27:00,7.2,17.7,10.2,5.8,322
2024-02-17 15:27:45,7.3,17.9,10.2,4.3,298
2024-02-17 15:28:30,7.2,16.1,10.2,4.1,295
2024-02-17 15:29:15,7.3,15.6,10.4,3.9,292
2024-02-17 15:30:00,7.2,17.6,10.3,4.8,308
2024-02-17 15:30:45,7.3,17.8,10.3,3.7,289
2024-02-17 15:31:30,7.2,16.0,10.3,3.6,287
2024-02-17 15:32:15,7.3,15.5,10.5,3.4,285
2024-02-17 15:33:00,7.2,17.5,10.4,4.2,298
2024-02-17 15:33:45,7.3,17.7,10.4,3.2,283
2024-02-17 15:34:30,7.2,15.9,10.4,3.1,282
2024-02-17 15:35:15,7.3,15.4,10.6,3.0,281
2024-02-17 15:36:00,7.2,17.4,10.5,3.8,292
2024-02-17 15:36:45,7.3,17.6,10.5,2.9,280
2024-02-17 15:37:30,7.2,15.8,10.5,2.8,279
2024-02-17 15:38:15,7.3,15.3,10.7,2.7,278
2024-02-17 15:39:00,7.2,17.3,10.6,3.5,288
2024-02-17 15:39:45,7.3,17.5,10.6,2.6,277
2024-02-17 15:40:30,7.2,17.7,8.7,4.5,301
2024-02-17 15:41:15,7.3,18.1,8.5,4.8,304
2024-02-17 15:42:00,7.2,18.5,8.4,5.2,308
2024-02-17 15:42:45,7.3,18.8,8.2,5.5,311
2024-02-17 15:43:30,7.2,19.1,8.1,5.8,314
2024-02-17 15:44:15,7.3,19.3,8.0,6.1,316
2024-02-17 15:45:00,7.2,19.4,7.9,6.3,318
2024-02-17 15:45:45,7.3,19.3,8.0,6.1,315
2024-02-17 15:46:30,7.2,19.1,8.1,5.8,312
2024-02-17 15:47:15,7.3,18.8,8.3,5.5,309
2024-02-17 15:48:00,7.2,18.4,8.5,5.1,305
2024-02-17 15:48:45,7.3,18.0,8.7,4.7,302
2024-02-17 15:49:30,7.2,17.5,8.9,4.3,298
2024-02-17 15:50:15,7.3,17.1,9.1,3.9,294
2024-02-17 15:51:00,7.2,16.7,9.3,3.6,291
2024-02-17 15:51:45,7.3,16.3,9.5,3.3,288
2024-02-17 15:52:30,7.2,16.0,9.6,3.1,286
2024-02-17 15:53:15,7.3,15.9,9.7,2.9,284
2024-02-17 15:54:00,7.2,15.8,9.3,3.4,287
2024-02-17 15:54:45,7.3,15.5,9.8,2.8,283
2024-02-17 15:55:30,7.2,18.6,8.3,5.3,309
2024-02-17 15:56:15,7.3,18.2,8.6,4.9,304
2024-02-17 15:57:00,7.2,15.9,9.4,3.2,286
2024-02-17 15:57:45,7.3,15.6,9.7,2.9,284
2024-02-17 15:58:30,7.2,18.7,8.4,5.4,310
2024-02-17 15:59:15,7.3,18.3,8.5,5.0,305
2024-02-17 16:00:00,7.2,16.0,9.5,3.3,288
2024-02-17 16:00:45,7.3,15.7,9.8,3.0,285
2024-02-17 16:01:30,7.2,18.8,8.3,5.5,311
2024-02-17 16:02:15,7.3,18.4,8.6,5.1,306
2024-02-17 16:03:00,7.2,16.1,9.4,3.4,289
2024-02-17 16:03:45,7.3,15.8,9.7,3.1,286
2024-02-17 16:04:30,7.2,18.9,8.4,5.6,312
2024-02-17 16:05:15,7.3,18.5,8.5,5.2,307
2024-02-17 16:06:00,7.2,16.2,9.5,3.5,290
2024-02-17 16:06:45,7.3,15.9,9.8,3.2,287
2024-02-17 16:07:30,7.2,19.0,8.3,5.7,313
2024-02-17 16:08:15,7.3,18.6,8.6,5.3,308
2024-02-17 16:09:00,7.2,16.3,9.6,3.6,291
2024-02-17 16:09:45,7.3,16.0,9.9,3.3,288
2024-02-17 16:10:30,7.2,19.1,8.2,5.8,314
2024-02-17 16:11:15,7.3,18.7,8.5,5.4,309
2024-02-17 16:12:00,7.1,16.4,9.5,4.2,315
2024-02-17 16:12:45,7.2,16.1,9.7,3.8,298
2024-02-17 16:13:30,7.1,19.2,8.3,6.5,342
2024-02-17 16:14:15,7.2,18.8,8.4,5.9,328
2024-02-17 16:15:00,7.0,16.5,9.3,5.8,365
2024-02-17 16:15:45,7.1,16.2,9.5,4.5,325
2024-02-17 16:16:30,7.0,19.3,8.1,8.2,398
2024-02-17 16:17:15,7.1,18.9,8.3,7.1,375
2024-02-17 16:18:00,6.9,16.6,9.1,7.5,425
2024-02-17 16:18:45,7.0,16.3,9.3,5.8,385
2024-02-17 16:19:30,6.9,19.4,7.9,11.3,485
2024-02-17 16:20:15,7.0,19.0,8.1,9.5,445
2024-02-17 16:21:00,6.8,16.7,8.9,10.8,525
2024-02-17 16:21:45,6.9,16.4,9.1,8.2,465
2024-02-17 16:22:30,6.8,19.5,7.7,15.7,585
2024-02-17 16:23:15,6.9,19.1,7.9,12.9,538
2024-02-17 16:24:00,6.7,16.8,8.7,15.2,625
2024-02-17 16:24:45,6.8,16.5,8.9,11.5,558
2024-02-17 16:25:30,6.7,19.6,7.5,22.4,698
2024-02-17 16:26:15,6.8,19.2,7.7,18.3,642
2024-02-17 16:27:00,5.2,17.1,5.8,125.8,1285
2024-02-17 16:27:45,4.8,17.2,5.2,185.4,1425
2024-02-17 16:28:30,4.5,17.1,4.8,245.7,1585
2024-02-17 16:29:15,4.2,17.0,4.5,312.5,1758
2024-02-17 16:30:00,3.9,16.9,4.2,385.3,1895
2024-02-17 16:30:45,3.7,16.8,3.9,458.7,2025
2024-02-17 16:31:30,3.5,17.2,3.6,542.3,2185
2024-02-17 16:32:15,3.6,17.8,3.4,625.8,2358
